"emp_no","dept_no","from_date","to_date"
94479,"d009","1985-11-17","9999-01-01"
67598,"d009","1998-07-19","9999-01-01"
406746,"d005","1987-06-07","9999-01-01"
439813,"d004","1985-02-22","9999-01-01"
79314,"d008","1998-12-28","9999-01-01"
201427,"d007","1994-09-07","9999-01-01"
274688,"d007","2000-01-16","9999-01-01"
244943,"d005","1991-01-27","1996-10-11"
238634,"d005","1998-11-25","2001-11-22"
490653,"d005","1988-09-18","9999-01-01"
11720,"d007","1992-08-19","9999-01-01"
454732,"d001","1991-06-09","2001-07-11"
427028,"d007","1990-01-10","9999-01-01"
66267,"d005","1995-07-28","9999-01-01"
251106,"d005","1987-07-19","1996-02-01"
103466,"d004","1989-04-14","1995-08-27"
61420,"d005","1992-05-26","9999-01-01"
454159,"d006","1997-05-30","2001-11-27"
103766,"d004","1995-12-15","9999-01-01"
48973,"d001","1998-11-02","9999-01-01"
19884,"d005","1989-03-28","9999-01-01"
466596,"d001","1990-03-02","9999-01-01"
57379,"d009","1993-06-15","9999-01-01"
220494,"d005","1997-08-31","2001-08-27"
444361,"d004","1995-01-07","9999-01-01"
81351,"d007","1987-08-01","9999-01-01"
431753,"d005","1997-01-22","9999-01-01"
231002,"d004","1988-04-15","9999-01-01"
67113,"d004","1992-05-14","2000-03-20"
216911,"d007","1990-08-10","9999-01-01"
479954,"d007","1991-01-06","1994-09-02"
487961,"d002","1993-05-09","9999-01-01"
91748,"d005","1990-11-23","9999-01-01"
493775,"d009","1992-01-07","1998-03-08"
107652,"d008","1989-11-16","9999-01-01"
451440,"d007","1993-02-16","9999-01-01"
463094,"d006","1992-02-06","2001-05-28"
250359,"d005","1995-05-27","9999-01-01"
452093,"d005","1994-04-02","9999-01-01"
272456,"d004","1991-01-12","9999-01-01"
34916,"d005","1997-02-21","9999-01-01"
206580,"d009","1995-02-03","1998-10-25"
283918,"d004","1985-08-28","9999-01-01"
440755,"d004","1999-06-13","9999-01-01"
235462,"d005","1996-07-20","9999-01-01"
54974,"d008","1993-09-29","9999-01-01"
458613,"d008","1990-04-20","9999-01-01"
469777,"d007","1996-10-30","9999-01-01"
61258,"d008","1992-07-30","1992-09-09"
65147,"d007","1998-12-09","2000-10-14"
294314,"d003","1987-05-01","9999-01-01"
66766,"d009","1991-08-21","1992-12-20"
63203,"d005","1990-04-28","2000-04-08"
102422,"d007","1999-07-29","9999-01-01"
410474,"d003","1996-12-10","1999-10-28"
444362,"d004","1987-01-10","1987-10-19"
107851,"d004","1999-04-20","9999-01-01"
408868,"d007","1993-09-08","9999-01-01"
443822,"d005","1997-05-06","2001-04-23"
56282,"d009","1989-09-20","1990-10-17"
298347,"d005","1987-12-01","9999-01-01"
450217,"d004","1988-06-08","2002-07-18"
53523,"d007","1991-09-28","9999-01-01"
22609,"d007","1995-10-02","9999-01-01"
477260,"d009","1997-03-01","9999-01-01"
104023,"d008","1998-11-06","9999-01-01"
268887,"d005","1985-11-16","9999-01-01"
271115,"d002","1997-11-22","9999-01-01"
66416,"d004","1991-01-25","9999-01-01"
95588,"d007","1992-09-18","1994-03-05"
475671,"d004","1992-03-12","9999-01-01"
480028,"d004","1998-08-29","9999-01-01"
242790,"d007","1993-01-11","9999-01-01"
279999,"d006","1998-02-23","1998-12-24"
222816,"d007","1985-04-14","9999-01-01"
431072,"d009","1999-12-03","2001-08-06"
251211,"d005","1999-01-04","9999-01-01"
28487,"d009","2001-04-14","9999-01-01"
218461,"d009","1991-11-22","9999-01-01"
465519,"d007","1998-11-02","9999-01-01"
205071,"d005","1986-08-15","1988-07-06"
468378,"d007","1992-01-22","9999-01-01"
95854,"d002","1997-11-12","1999-06-10"
228108,"d002","1995-04-23","9999-01-01"
279242,"d002","1993-12-04","9999-01-01"
273445,"d003","1999-09-15","9999-01-01"
95849,"d005","1993-01-15","1996-05-04"
103747,"d002","1991-12-20","9999-01-01"
404353,"d005","1987-05-10","9999-01-01"
24497,"d005","1991-06-13","9999-01-01"
233266,"d007","1996-09-25","9999-01-01"
36264,"d007","1998-05-06","9999-01-01"
424866,"d004","1996-08-26","9999-01-01"
260367,"d002","1994-03-04","9999-01-01"
207601,"d005","1994-07-31","9999-01-01"
400677,"d005","1997-04-17","9999-01-01"
275491,"d007","1992-10-24","9999-01-01"
468979,"d005","1987-03-09","9999-01-01"
416180,"d002","1994-04-14","1998-01-17"
429570,"d002","1997-07-11","9999-01-01"
450420,"d004","1991-07-05","9999-01-01"
26376,"d006","1986-01-11","9999-01-01"
203723,"d008","1997-01-22","9999-01-01"
412122,"d008","1994-06-29","1998-11-30"
27089,"d004","1996-11-11","9999-01-01"
274449,"d009","1991-03-13","9999-01-01"
452893,"d002","1998-01-21","9999-01-01"
16359,"d007","1993-07-26","9999-01-01"
12300,"d004","1990-05-16","9999-01-01"
286482,"d005","1991-11-17","9999-01-01"
11297,"d004","1991-02-16","1991-02-22"
480145,"d003","1997-03-09","9999-01-01"
474379,"d008","2000-02-02","2000-05-15"
235421,"d004","1992-04-17","9999-01-01"
431756,"d007","1986-12-24","9999-01-01"
220495,"d007","1991-09-30","9999-01-01"
211300,"d004","1991-10-26","9999-01-01"
270330,"d005","1989-01-16","9999-01-01"
29953,"d008","1999-02-14","9999-01-01"
294501,"d007","1989-06-30","9999-01-01"
49123,"d005","1995-06-20","9999-01-01"
102466,"d005","1994-05-29","1994-11-14"
405868,"d005","1995-06-11","9999-01-01"
95129,"d005","1989-11-24","9999-01-01"
258199,"d001","1996-12-07","9999-01-01"
274433,"d007","1998-09-04","9999-01-01"
32459,"d003","1994-07-17","2001-06-19"
214543,"d007","1990-07-30","1995-01-28"
220828,"d003","1995-07-11","9999-01-01"
446376,"d002","1994-11-30","9999-01-01"
286950,"d001","1998-04-13","9999-01-01"
218285,"d005","1995-02-22","1997-09-02"
433808,"d009","1989-10-07","9999-01-01"
268019,"d002","1992-10-26","1994-06-12"
400883,"d007","1998-03-15","9999-01-01"
429431,"d005","1998-10-15","2001-05-08"
403209,"d005","1990-05-26","9999-01-01"
243025,"d003","1991-09-03","1997-12-13"
445041,"d004","1990-05-19","9999-01-01"
255789,"d003","1987-08-08","9999-01-01"
50139,"d007","1998-08-26","9999-01-01"
234401,"d001","1989-10-11","9999-01-01"
474601,"d005","1989-03-17","9999-01-01"
421011,"d001","2000-02-02","9999-01-01"
10020,"d004","1997-12-30","9999-01-01"
479392,"d003","1986-09-30","9999-01-01"
220667,"d005","1999-11-17","2002-01-26"
470585,"d005","1994-04-27","2000-01-27"
469712,"d006","1999-12-06","9999-01-01"
26501,"d005","1996-01-31","9999-01-01"
63993,"d004","1990-09-04","1997-12-05"
408299,"d005","1992-10-06","1993-11-18"
11697,"d005","1999-12-10","9999-01-01"
407236,"d004","1997-09-09","9999-01-01"
241211,"d005","1997-11-06","9999-01-01"
239243,"d004","1995-09-12","9999-01-01"
468373,"d008","1986-12-03","9999-01-01"
77239,"d005","1995-08-13","9999-01-01"
468517,"d004","1990-01-01","9999-01-01"
282691,"d009","1996-08-09","2002-01-09"
233646,"d002","1990-08-03","9999-01-01"
59021,"d006","1985-07-15","1987-09-19"
440825,"d004","1989-09-18","9999-01-01"
34480,"d005","1999-08-19","9999-01-01"
218509,"d001","1998-10-25","9999-01-01"
293829,"d005","1989-08-28","9999-01-01"
90500,"d004","1999-06-02","9999-01-01"
48616,"d001","1991-11-19","9999-01-01"
58067,"d005","1995-08-17","9999-01-01"
83456,"d005","1987-12-01","9999-01-01"
210708,"d007","1988-11-14","1994-07-27"
465881,"d004","1988-02-03","9999-01-01"
28095,"d007","1995-10-25","1999-02-22"
200320,"d008","1996-02-21","9999-01-01"
429121,"d004","1987-05-08","1996-09-12"
45787,"d002","1985-04-15","9999-01-01"
486573,"d006","1996-12-06","9999-01-01"
466078,"d003","1989-02-22","9999-01-01"
70972,"d001","1999-01-08","9999-01-01"
246764,"d007","1997-11-29","9999-01-01"
292600,"d001","1987-08-29","9999-01-01"
481300,"d006","1997-04-17","9999-01-01"
474313,"d003","1990-10-26","9999-01-01"
420318,"d005","1990-07-30","1999-08-05"
239481,"d005","1988-04-13","9999-01-01"
442181,"d004","1990-12-16","9999-01-01"
248698,"d005","1998-03-07","9999-01-01"
90143,"d004","1997-01-13","1999-09-11"
274279,"d007","1998-07-26","9999-01-01"
80844,"d005","1986-01-29","9999-01-01"
492431,"d007","2000-08-05","9999-01-01"
35386,"d004","1989-11-26","9999-01-01"
20723,"d004","1990-12-15","9999-01-01"
438668,"d007","1988-12-02","1993-07-24"
241645,"d009","1987-04-04","9999-01-01"
419939,"d005","1993-01-18","9999-01-01"
236583,"d009","2002-01-28","9999-01-01"
68613,"d004","1986-01-21","1988-07-10"
237496,"d007","1998-02-02","9999-01-01"
255449,"d007","1992-04-29","9999-01-01"
242792,"d007","1990-06-13","9999-01-01"
409224,"d004","1999-02-14","9999-01-01"
230462,"d001","1988-08-13","9999-01-01"
54484,"d006","1994-07-17","1995-01-17"
258009,"d005","1985-05-17","1998-01-04"
405154,"d006","1987-04-13","9999-01-01"
421896,"d006","1996-10-14","9999-01-01"
294101,"d009","1997-04-10","2000-04-13"
98938,"d005","1993-06-25","9999-01-01"
48161,"d008","1988-08-22","9999-01-01"
287802,"d005","1986-12-03","9999-01-01"
231659,"d005","1994-02-08","9999-01-01"
284498,"d005","1985-07-08","1988-02-09"
456827,"d004","1991-03-13","9999-01-01"
201958,"d005","1993-06-08","1994-03-10"
227959,"d005","2002-05-28","9999-01-01"
450502,"d008","1994-06-10","9999-01-01"
74769,"d004","1998-02-17","9999-01-01"
453720,"d005","1997-07-14","9999-01-01"
64558,"d007","1994-11-28","1996-03-08"
271433,"d005","1989-02-20","9999-01-01"
264767,"d004","1996-10-28","9999-01-01"
222302,"d005","1990-10-15","9999-01-01"
27180,"d007","1997-08-21","9999-01-01"
449239,"d004","1992-08-12","9999-01-01"
414619,"d009","1986-09-03","1994-04-30"
82793,"d005","1987-11-08","9999-01-01"
426430,"d007","1989-05-10","9999-01-01"
264547,"d004","1993-05-27","9999-01-01"
469767,"d007","1990-01-16","9999-01-01"
214540,"d007","1989-06-02","9999-01-01"
75864,"d005","1999-01-08","2001-07-26"
37016,"d005","1994-02-09","9999-01-01"
434091,"d005","1985-09-29","9999-01-01"
267011,"d004","1992-11-05","9999-01-01"
254351,"d004","1985-05-26","9999-01-01"
482681,"d002","1999-06-25","9999-01-01"
240847,"d005","1994-09-25","9999-01-01"
464847,"d005","1999-07-25","2002-04-25"
413138,"d004","1989-09-08","9999-01-01"
473958,"d002","1992-02-03","9999-01-01"
60008,"d006","1991-07-03","9999-01-01"
292966,"d004","1985-04-02","9999-01-01"
223521,"d004","1985-02-07","9999-01-01"
43373,"d005","1988-03-04","9999-01-01"
405058,"d009","1987-02-20","9999-01-01"
103008,"d002","1996-01-19","1998-12-05"
54766,"d001","2001-11-21","9999-01-01"
411744,"d009","1998-12-26","9999-01-01"
294452,"d002","1993-05-06","1995-11-27"
45911,"d002","2000-03-28","9999-01-01"
220487,"d005","1988-02-26","1992-01-22"
264002,"d007","1994-08-04","1999-12-15"
232170,"d004","1988-12-11","1999-03-13"
491540,"d004","1995-05-15","1996-03-24"
247664,"d003","1989-04-26","9999-01-01"
481261,"d008","1995-11-15","9999-01-01"
249094,"d005","1998-09-02","2001-01-30"
105470,"d006","1997-07-19","9999-01-01"
10276,"d005","1986-10-19","2000-02-04"
491374,"d007","1990-03-24","9999-01-01"
244003,"d006","1988-06-13","9999-01-01"
483679,"d004","1986-10-10","9999-01-01"
282822,"d007","1996-07-22","9999-01-01"
407861,"d003","1988-12-01","9999-01-01"
285780,"d007","1991-10-21","9999-01-01"
67248,"d008","2000-01-19","9999-01-01"
80275,"d009","1994-02-07","1997-01-16"
473364,"d002","1994-06-22","2001-09-23"
59310,"d005","1985-05-24","2001-08-01"
43060,"d005","1994-02-10","2001-01-10"
411652,"d001","1988-03-07","9999-01-01"
89036,"d004","2000-08-16","9999-01-01"
218082,"d004","1994-11-01","9999-01-01"
297152,"d007","1994-01-31","9999-01-01"
256027,"d003","1986-10-16","1987-11-03"
50774,"d004","1986-03-19","1986-06-25"
17874,"d007","1992-01-01","9999-01-01"
45357,"d004","1987-03-15","9999-01-01"
260323,"d007","1991-09-13","9999-01-01"
497743,"d005","1986-08-08","1993-07-20"
17879,"d005","1993-07-18","9999-01-01"
67387,"d002","1996-12-16","9999-01-01"
409687,"d001","1997-05-06","9999-01-01"
471802,"d004","1995-03-18","9999-01-01"
220275,"d006","1993-12-08","9999-01-01"
26062,"d007","1995-07-25","9999-01-01"
98732,"d003","1991-02-15","9999-01-01"
449267,"d003","1994-03-30","1999-10-17"
98605,"d004","1992-02-18","9999-01-01"
227190,"d002","1995-05-04","9999-01-01"
450516,"d005","1996-07-30","1999-08-22"
34708,"d004","1999-05-11","9999-01-01"
274196,"d007","1994-12-30","9999-01-01"
265880,"d007","1995-10-10","9999-01-01"
437344,"d003","1986-04-01","1993-01-05"
233937,"d001","1992-09-08","1997-08-03"
41382,"d005","1989-03-16","9999-01-01"
223493,"d005","1989-08-30","9999-01-01"
63910,"d009","1994-01-20","9999-01-01"
107906,"d007","1994-07-05","9999-01-01"
444792,"d007","1989-11-01","9999-01-01"
40261,"d005","1995-06-17","9999-01-01"
221574,"d004","1990-01-12","2001-06-03"
293726,"d002","1988-09-21","9999-01-01"
204732,"d009","1997-06-26","9999-01-01"
224390,"d008","1996-05-17","9999-01-01"
493011,"d004","1990-11-15","9999-01-01"
43807,"d005","1987-10-10","1991-12-21"
496461,"d004","1987-01-14","9999-01-01"
245065,"d007","1988-04-14","1993-06-26"
245707,"d005","1989-04-27","1994-01-27"
49460,"d005","1994-07-21","1998-01-21"
205408,"d005","1986-04-10","1987-01-11"
14531,"d005","1985-06-02","9999-01-01"
107101,"d004","1997-04-24","9999-01-01"
263822,"d008","1994-06-04","9999-01-01"
483876,"d007","1988-07-27","2001-10-02"
108384,"d005","1991-08-27","1996-02-23"
460410,"d004","1996-05-14","9999-01-01"
60509,"d001","1998-08-01","9999-01-01"
436506,"d004","1989-09-03","9999-01-01"
491297,"d005","1989-02-28","9999-01-01"
58712,"d004","1993-05-26","1999-03-10"
483050,"d001","1988-02-11","1990-09-15"
59390,"d007","1999-02-28","2000-03-05"
200164,"d004","1992-04-07","9999-01-01"
436380,"d001","1991-05-26","2000-01-06"
438293,"d004","1997-02-27","9999-01-01"
433603,"d009","1993-10-14","9999-01-01"
75947,"d004","1989-07-02","1997-12-10"
490238,"d006","1997-09-03","2002-07-28"
288152,"d005","1998-01-03","9999-01-01"
410715,"d008","1995-06-28","1997-09-25"
496474,"d004","1998-02-24","9999-01-01"
467813,"d004","1995-11-14","1998-02-02"
108962,"d007","1998-09-10","9999-01-01"
44185,"d001","1991-11-04","9999-01-01"
410806,"d001","1990-02-01","1995-09-04"
233200,"d005","1994-02-07","1999-10-17"
245112,"d004","1987-09-10","9999-01-01"
297365,"d004","1996-01-03","9999-01-01"
68676,"d001","1998-09-17","9999-01-01"
241898,"d005","1985-02-19","9999-01-01"
70587,"d009","1994-06-04","9999-01-01"
446195,"d004","1986-10-01","9999-01-01"
215396,"d004","1991-03-16","9999-01-01"
108120,"d005","1996-04-27","9999-01-01"
401023,"d004","1996-09-20","9999-01-01"
481139,"d008","1996-07-11","9999-01-01"
108877,"d004","1999-07-30","2000-12-08"
88939,"d005","1996-08-25","9999-01-01"
227056,"d004","1993-09-19","9999-01-01"
225050,"d005","1999-03-17","2001-07-18"
465001,"d001","1991-07-22","9999-01-01"
414885,"d007","1999-03-07","9999-01-01"
66144,"d007","1994-11-27","9999-01-01"
86341,"d004","1998-05-11","2002-06-14"
295434,"d007","1988-03-29","9999-01-01"
421756,"d009","1995-03-28","2001-03-17"
459358,"d004","1993-11-15","9999-01-01"
244965,"d009","1994-11-20","1995-09-18"
425788,"d007","1999-03-29","9999-01-01"
429273,"d007","1989-12-19","9999-01-01"
406157,"d005","1986-09-21","1990-11-22"
214017,"d004","1995-04-10","9999-01-01"
435947,"d007","1986-04-25","1989-06-19"
433945,"d001","1989-01-07","1997-12-23"
294346,"d002","1994-07-22","1999-05-22"
445849,"d005","1999-11-30","9999-01-01"
261685,"d009","1992-03-22","1997-08-02"
273112,"d006","2000-01-27","9999-01-01"
22951,"d003","1986-07-27","9999-01-01"
28489,"d008","1998-06-02","9999-01-01"
241279,"d004","1989-08-21","2000-06-27"
52792,"d005","1996-07-21","9999-01-01"
258918,"d003","1992-12-01","1993-10-03"
440874,"d005","1999-08-07","2002-02-09"
90029,"d005","1987-11-02","9999-01-01"
411597,"d005","1992-04-28","9999-01-01"
54572,"d001","1999-07-19","9999-01-01"
421319,"d007","1988-05-01","9999-01-01"
56598,"d006","1992-10-08","9999-01-01"
92790,"d004","1985-12-21","2001-02-26"
37481,"d008","1990-11-23","9999-01-01"
20889,"d007","1988-04-15","1995-11-03"
401927,"d006","1995-07-31","1995-11-08"
84559,"d002","1999-11-16","9999-01-01"
462110,"d003","1996-03-03","9999-01-01"
481576,"d005","1996-11-06","1997-03-10"
51975,"d007","1995-11-23","9999-01-01"
422291,"d004","1995-10-06","9999-01-01"
288539,"d007","1990-11-27","1993-01-31"
243773,"d005","1993-06-12","2000-10-02"
442494,"d004","1987-04-17","9999-01-01"
488690,"d005","1986-03-02","9999-01-01"
240690,"d005","1988-06-09","9999-01-01"
449365,"d004","1993-06-08","9999-01-01"
461391,"d007","1991-02-14","9999-01-01"
28234,"d006","1987-04-25","9999-01-01"
100388,"d004","1985-05-21","9999-01-01"
45505,"d005","1997-05-11","9999-01-01"
33953,"d004","2000-09-24","9999-01-01"
414330,"d007","1998-11-13","9999-01-01"
15763,"d001","1993-08-03","2001-11-18"
200159,"d007","1998-04-10","1999-07-26"
222418,"d004","1991-02-19","9999-01-01"
87439,"d007","1988-08-19","1997-04-25"
251334,"d005","1993-04-04","2000-05-30"
402443,"d008","1987-09-27","9999-01-01"
484378,"d004","1991-10-06","9999-01-01"
472458,"d001","1998-09-20","9999-01-01"
476743,"d004","1990-06-15","1990-09-24"
107685,"d005","1999-05-26","9999-01-01"
472650,"d007","2000-01-21","9999-01-01"
20540,"d004","1990-02-24","9999-01-01"
493451,"d004","1991-05-26","9999-01-01"
29830,"d007","1990-01-29","1991-01-20"
498165,"d007","1986-04-12","9999-01-01"
60041,"d004","1991-05-27","9999-01-01"
55236,"d002","1988-06-01","9999-01-01"
10563,"d005","1992-09-29","2002-01-01"
258563,"d004","1994-12-20","1996-10-31"
202379,"d005","1986-04-21","1998-10-13"
87383,"d007","1993-09-14","9999-01-01"
78556,"d007","1997-08-07","9999-01-01"
90064,"d001","1998-01-09","9999-01-01"
467917,"d004","1997-12-04","2001-12-12"
287366,"d005","1995-08-14","2002-03-26"
44329,"d005","1987-06-11","1990-10-27"
498741,"d005","1985-12-21","9999-01-01"
25889,"d004","1997-12-14","2000-10-21"
462082,"d005","1998-09-16","2002-04-04"
299166,"d005","1999-02-23","2001-08-27"
33385,"d004","1990-08-04","9999-01-01"
274697,"d005","1990-07-18","9999-01-01"
49116,"d004","1993-05-04","9999-01-01"
488442,"d003","1987-11-18","9999-01-01"
79617,"d005","1998-05-05","9999-01-01"
47491,"d004","1991-12-10","1997-05-09"
67881,"d002","1987-10-06","9999-01-01"
418000,"d007","1988-10-17","9999-01-01"
483155,"d009","2000-04-30","9999-01-01"
472878,"d007","1998-08-31","1999-11-04"
256832,"d001","1994-06-25","9999-01-01"
451280,"d002","1987-10-08","9999-01-01"
285321,"d003","2000-05-13","9999-01-01"
412985,"d008","1996-12-25","9999-01-01"
82371,"d007","1986-05-17","9999-01-01"
402917,"d004","1991-12-04","9999-01-01"
86668,"d005","1993-08-16","9999-01-01"
228728,"d004","1989-05-21","9999-01-01"
66321,"d004","1987-04-28","1991-03-23"
232676,"d005","1999-02-20","9999-01-01"
437953,"d004","1994-03-30","9999-01-01"
16823,"d004","1989-10-30","1990-05-08"
233432,"d007","1991-07-31","1991-10-30"
105216,"d004","1997-04-07","1997-12-08"
277131,"d005","1991-07-14","9999-01-01"
482179,"d009","1998-06-12","9999-01-01"
88882,"d005","1987-02-05","9999-01-01"
486215,"d001","1989-03-18","9999-01-01"
274809,"d005","1985-03-07","9999-01-01"
290448,"d007","1999-10-05","2000-06-05"
242712,"d004","1995-12-04","9999-01-01"
286750,"d005","1991-12-10","1993-10-26"
465431,"d004","1999-10-26","2000-01-08"
232392,"d007","1987-05-08","1992-03-16"
494178,"d002","1989-06-10","9999-01-01"
81054,"d005","1994-08-21","9999-01-01"
63803,"d001","1994-06-07","9999-01-01"
28643,"d009","1989-02-03","9999-01-01"
448223,"d005","1999-07-08","9999-01-01"
207146,"d002","1987-10-27","9999-01-01"
402369,"d005","1990-08-17","1990-12-14"
221947,"d004","1990-05-18","9999-01-01"
204217,"d005","1992-12-07","9999-01-01"
245889,"d005","1990-06-17","9999-01-01"
486932,"d005","1997-09-18","9999-01-01"
214765,"d008","1999-12-10","9999-01-01"
269002,"d004","1998-03-21","9999-01-01"
240432,"d001","1998-06-28","9999-01-01"
484028,"d001","1988-04-19","9999-01-01"
291011,"d005","1989-01-11","9999-01-01"
413068,"d003","1992-07-22","9999-01-01"
273122,"d001","1997-07-30","9999-01-01"
428494,"d009","1987-10-15","9999-01-01"
453035,"d004","1986-11-06","1988-12-14"
210112,"d004","1988-11-03","9999-01-01"
497004,"d001","1996-04-02","9999-01-01"
106890,"d001","1999-03-25","9999-01-01"
21731,"d007","1989-06-02","9999-01-01"
418264,"d005","1993-07-14","9999-01-01"
17799,"d005","1997-09-28","2001-07-11"
248618,"d008","1991-05-17","9999-01-01"
241942,"d004","1989-06-29","9999-01-01"
499763,"d007","1985-02-06","9999-01-01"
67506,"d007","1993-04-18","9999-01-01"
442813,"d005","1989-04-30","9999-01-01"
437983,"d004","1990-09-29","9999-01-01"
455809,"d005","1988-12-08","9999-01-01"
256893,"d004","1991-12-23","9999-01-01"
488588,"d003","1992-08-10","1994-11-14"
497575,"d004","1995-04-29","9999-01-01"
253452,"d009","1993-03-08","2000-12-11"
432242,"d006","1997-07-16","9999-01-01"
400847,"d002","1998-02-13","1998-12-13"
280403,"d001","1987-05-14","9999-01-01"
258351,"d005","1989-07-12","9999-01-01"
404649,"d007","1991-02-18","9999-01-01"
204247,"d006","1988-04-23","9999-01-01"
21036,"d004","1997-01-30","9999-01-01"
84547,"d004","1997-12-17","9999-01-01"
61448,"d004","1988-09-14","1999-05-19"
16073,"d005","1990-10-23","9999-01-01"
418858,"d004","1993-02-06","9999-01-01"
16398,"d007","1993-07-31","9999-01-01"
47629,"d007","1989-12-29","1994-01-29"
30769,"d007","1988-01-12","9999-01-01"
201111,"d003","2002-02-07","9999-01-01"
101095,"d005","1990-06-12","9999-01-01"
423479,"d005","1985-09-05","9999-01-01"
25490,"d001","1986-11-30","9999-01-01"
54672,"d009","1986-04-05","9999-01-01"
454836,"d005","1986-10-27","9999-01-01"
75987,"d007","1992-12-03","9999-01-01"
430967,"d004","1994-02-20","9999-01-01"
283320,"d003","1987-09-27","9999-01-01"
416625,"d005","1987-04-26","1991-10-27"
280171,"d002","1994-03-27","1999-04-27"
292695,"d005","1986-06-01","9999-01-01"
497206,"d004","2001-04-27","9999-01-01"
251780,"d005","1993-12-31","2000-01-21"
81584,"d004","1998-03-22","9999-01-01"
59421,"d005","1991-05-26","9999-01-01"
234040,"d009","1995-10-25","9999-01-01"
465730,"d004","1991-05-12","1994-05-27"
201501,"d005","1986-05-18","9999-01-01"
439153,"d005","1998-01-31","9999-01-01"
495743,"d004","1996-09-05","9999-01-01"
214211,"d005","1987-12-26","9999-01-01"
48124,"d007","1990-03-28","9999-01-01"
233771,"d009","1997-06-06","2001-01-19"
26671,"d005","1994-12-25","9999-01-01"
497929,"d001","1994-02-01","9999-01-01"
40901,"d001","1995-08-03","9999-01-01"
455216,"d005","1990-09-17","9999-01-01"
440717,"d005","1993-09-06","9999-01-01"
429913,"d003","2000-12-10","9999-01-01"
453739,"d001","1992-12-14","1996-04-01"
294248,"d008","1992-02-18","9999-01-01"
93582,"d004","1985-10-07","9999-01-01"
205272,"d004","1985-04-04","9999-01-01"
201226,"d004","1994-04-21","9999-01-01"
486852,"d009","2001-08-13","9999-01-01"
102176,"d006","1999-08-23","2001-02-16"
13063,"d001","1994-01-02","9999-01-01"
485120,"d007","1987-03-30","9999-01-01"
203820,"d005","1985-12-29","9999-01-01"
48108,"d006","1998-01-28","9999-01-01"
411743,"d005","1989-09-25","1999-07-02"
475895,"d005","1988-10-27","1994-09-29"
433662,"d007","1986-01-22","1989-02-25"
436964,"d005","1993-07-20","9999-01-01"
54957,"d006","1997-05-03","9999-01-01"
65475,"d006","1998-04-01","1998-12-11"
249390,"d005","1987-10-23","2000-09-18"
498099,"d009","1990-06-06","9999-01-01"
214804,"d004","1994-01-01","9999-01-01"
274813,"d007","1993-08-07","9999-01-01"
91131,"d004","1994-04-22","9999-01-01"
89694,"d003","1995-08-07","9999-01-01"
470359,"d007","1997-04-14","9999-01-01"
269394,"d005","1998-07-19","9999-01-01"
63002,"d005","1996-07-14","1997-11-24"
499715,"d008","1997-08-20","2002-04-11"
231425,"d005","1986-05-11","9999-01-01"
99205,"d002","1986-01-25","9999-01-01"
498620,"d003","1995-07-15","9999-01-01"
435023,"d001","1997-04-26","9999-01-01"
470354,"d007","1997-07-14","9999-01-01"
229375,"d004","1998-05-31","9999-01-01"
477227,"d002","1995-11-02","2000-01-25"
14707,"d007","1996-10-23","9999-01-01"
471357,"d007","1998-01-03","2000-03-30"
473331,"d004","1988-07-07","9999-01-01"
401516,"d007","1998-06-30","9999-01-01"
45508,"d004","1988-07-18","9999-01-01"
494011,"d003","1997-11-10","9999-01-01"
283616,"d005","1994-12-11","9999-01-01"
62189,"d004","1991-02-23","1997-09-12"
257840,"d009","1998-12-15","9999-01-01"
269181,"d005","1994-09-15","9999-01-01"
102143,"d004","1994-02-26","9999-01-01"
427897,"d005","1997-06-26","9999-01-01"
44169,"d001","1990-12-03","1992-06-23"
452540,"d008","1998-07-01","2000-03-13"
271053,"d008","1996-02-01","9999-01-01"
402485,"d007","1999-01-07","2000-10-09"
286840,"d007","1989-12-12","9999-01-01"
53650,"d001","1986-07-01","9999-01-01"
52231,"d004","1997-10-19","1997-11-13"
434632,"d004","1998-07-10","9999-01-01"
483296,"d004","1988-08-21","9999-01-01"
63496,"d004","1986-10-05","9999-01-01"
15864,"d006","1999-03-13","9999-01-01"
240745,"d005","1990-02-02","1992-07-26"
83024,"d005","2000-01-10","2002-03-08"
492799,"d001","1993-10-07","9999-01-01"
221998,"d005","1999-01-04","9999-01-01"
299676,"d007","1991-02-24","1996-02-26"
260786,"d009","1987-05-30","9999-01-01"
292345,"d009","1997-12-18","2001-11-08"
491911,"d001","1992-11-15","9999-01-01"
98016,"d004","1998-07-29","9999-01-01"
420183,"d005","1986-02-10","9999-01-01"
278734,"d005","1994-10-17","9999-01-01"
265798,"d005","1988-04-25","1992-11-09"
52891,"d005","1985-05-08","9999-01-01"
70186,"d006","1990-10-23","9999-01-01"
217587,"d003","1991-02-05","9999-01-01"
410497,"d009","1991-12-21","9999-01-01"
222304,"d004","1995-03-18","9999-01-01"
210673,"d007","1997-02-02","9999-01-01"
252465,"d008","1996-11-30","9999-01-01"
221255,"d004","1998-02-01","1998-07-07"
102005,"d007","1987-08-20","1996-02-08"
421130,"d007","1988-12-02","9999-01-01"
97573,"d001","1991-11-28","9999-01-01"
443928,"d006","1996-12-07","9999-01-01"
57799,"d008","2002-07-07","9999-01-01"
38069,"d004","1987-02-19","2001-12-10"
268724,"d008","1993-12-17","9999-01-01"
469288,"d005","1986-04-07","1991-04-09"
280903,"d004","1990-10-31","9999-01-01"
