"emp_no","salary","from_date","to_date"
277014,53162,"1999-08-05","2000-08-04"
88977,48670,"1994-04-18","1995-04-18"
79862,55518,"1997-11-03","1998-11-03"
259219,40000,"1992-05-04","1993-05-04"
51261,68054,"1993-10-22","1994-10-22"
28533,66962,"1999-04-01","2000-03-31"
443068,72844,"1996-07-08","1997-07-08"
62210,50992,"1992-12-14","1993-12-14"
418062,90703,"1993-10-29","1994-10-29"
431356,70534,"1993-12-24","1994-12-24"
411230,56710,"1989-10-01","1990-10-01"
72654,73869,"1997-01-28","1998-01-28"
415117,87432,"1993-08-12","1994-08-12"
482641,57071,"1996-08-26","1997-08-26"
86583,50318,"1987-10-01","1988-09-30"
287090,47075,"2001-02-07","2002-02-07"
201522,56716,"1989-02-11","1990-02-11"
77123,43474,"2001-05-07","2001-11-07"
240959,74126,"1999-05-17","2000-05-16"
102057,98569,"1998-04-16","1999-04-16"
437668,40000,"1995-12-07","1996-12-06"
107967,58511,"1992-11-13","1993-11-13"
68900,45133,"1994-02-25","1995-02-25"
401943,56045,"1992-12-15","1993-12-15"
82469,50261,"1997-06-15","1998-06-15"
90652,74842,"1996-09-19","1997-09-19"
53768,46009,"1992-08-05","1993-08-05"
294741,76336,"1996-06-20","1997-06-20"
469980,49053,"1993-05-20","1994-05-20"
415013,78945,"1995-07-22","1996-07-21"
12929,81944,"2001-02-12","2002-02-12"
494879,57319,"2001-01-25","2002-01-25"
63217,48277,"2001-04-30","2002-04-30"
50887,62703,"1992-10-26","1993-10-26"
207605,83007,"1996-02-02","1997-02-01"
230662,44060,"1992-05-15","1993-05-15"
65743,80592,"1999-02-05","2000-02-05"
221711,57138,"1992-12-07","1993-12-07"
51999,79636,"1999-10-08","2000-10-07"
232632,65839,"1992-08-27","1993-08-27"
262852,64853,"2000-01-08","2001-01-07"
497519,57932,"1990-07-18","1991-07-18"
279449,47597,"1994-07-04","1995-07-04"
239481,42224,"1989-04-13","1990-04-13"
61773,45573,"1998-04-03","1999-04-03"
459101,71298,"1987-05-12","1988-05-11"
211692,59805,"1988-02-18","1989-02-17"
413636,59774,"1991-02-19","1992-02-19"
494059,43696,"1994-02-02","1995-02-02"
415103,40405,"1992-06-07","1993-06-07"
219644,77643,"1994-02-17","1995-02-17"
107867,64069,"1992-10-15","1993-10-15"
467260,97529,"2001-09-20","9999-01-01"
91342,41387,"1997-11-03","1998-11-03"
46554,42337,"1987-12-01","1988-11-30"
25002,40000,"1991-12-05","1992-12-04"
95301,55136,"1990-04-28","1991-04-28"
281127,51933,"2002-04-21","9999-01-01"
68110,44569,"1995-10-05","1996-10-04"
401032,67543,"1989-06-29","1990-06-29"
100313,54945,"1998-09-24","1999-09-24"
220216,85992,"1996-02-11","1997-02-10"
420703,68724,"1989-03-09","1990-03-09"
435036,51843,"1993-06-11","1994-06-11"
25232,45564,"1994-09-17","1995-09-17"
446495,55771,"2001-11-21","9999-01-01"
225300,51723,"2000-12-19","2001-12-19"
480349,45491,"1989-01-28","1990-01-28"
274652,45390,"1992-11-30","1993-03-21"
475890,63165,"2000-11-17","2001-11-17"
46343,83176,"1996-05-28","1997-05-28"
50659,44589,"1998-07-27","1999-04-14"
67057,56604,"1992-09-15","1993-09-15"
400957,75357,"1992-08-07","1993-08-07"
235798,52007,"1990-10-25","1991-10-25"
214098,57985,"1988-05-19","1989-05-19"
276527,40000,"1986-05-28","1987-05-28"
108306,93757,"1998-05-21","1999-05-21"
435529,59639,"1996-10-15","1997-10-15"
33579,93383,"1998-06-20","1999-06-20"
401591,57459,"1996-03-03","1997-03-03"
13645,51192,"1987-01-21","1988-01-21"
46164,62774,"1990-03-30","1991-03-30"
487619,64234,"1994-05-16","1995-05-16"
203347,56696,"1997-02-18","1998-02-18"
39859,47906,"1990-02-02","1991-02-02"
234053,42284,"1994-10-22","1995-10-22"
413580,57745,"1990-05-07","1991-05-07"
22098,46397,"2000-02-16","2001-02-15"
218071,93423,"2001-08-01","2002-08-01"
204604,40000,"1997-02-15","1998-02-15"
419658,40000,"1989-05-30","1990-05-30"
251296,66501,"1997-06-04","1998-06-04"
407271,77713,"1989-02-17","1990-02-17"
47879,45587,"1993-08-21","1994-08-21"
402581,43789,"1992-08-12","1993-08-12"
29592,40000,"1993-08-28","1994-08-28"
472082,58538,"1994-01-22","1995-01-22"
222740,77278,"1993-07-13","1994-07-13"
401388,45022,"1992-09-30","1993-09-30"
249764,80383,"1989-07-19","1990-07-19"
459389,59567,"2000-06-07","2001-06-07"
204157,91633,"1999-09-13","2000-09-12"
94878,60211,"1997-06-19","1998-06-19"
22201,46402,"1995-11-01","1996-10-31"
293149,86139,"2002-02-15","9999-01-01"
85493,49858,"1991-03-13","1992-03-12"
230144,60115,"1999-10-30","2000-10-29"
248111,45763,"1992-04-25","1993-04-25"
96427,49982,"1998-04-11","1999-04-11"
59008,115412,"1992-08-02","1993-08-02"
452307,66954,"1997-01-19","1998-01-19"
51211,40000,"1991-05-24","1992-05-23"
30679,50514,"1991-07-11","1992-07-10"
285860,40000,"1989-12-24","1990-12-24"
411489,40000,"1999-04-03","2000-04-02"
485786,54374,"1993-12-15","1994-12-15"
64733,43457,"1997-04-28","1998-04-28"
493027,57348,"1986-04-24","1987-04-24"
408304,86891,"1992-10-06","1993-10-06"
419186,49546,"1989-12-18","1990-12-18"
59839,87814,"1997-01-17","1998-01-17"
277086,58914,"1998-08-02","1999-08-02"
89928,60897,"1997-03-06","1998-03-06"
206377,84750,"2000-07-27","2001-07-27"
484939,56722,"2000-12-26","2001-12-26"
237870,69775,"1999-06-25","2000-06-24"
36819,101853,"1997-03-20","1998-03-20"
235020,51496,"2000-01-18","2001-01-17"
409951,90458,"1997-08-23","1998-08-23"
235493,48829,"1995-12-06","1996-12-05"
439810,84526,"1994-12-29","1995-12-29"
410998,95581,"1991-09-29","1992-09-28"
97401,46365,"1998-02-02","1999-02-02"
22620,80911,"1995-01-12","1996-01-12"
230127,59891,"1992-12-21","1993-12-21"
420562,84466,"1994-12-11","1995-12-11"
418432,54749,"1990-07-29","1991-07-29"
257225,119831,"2001-12-28","9999-01-01"
36528,77718,"1994-05-04","1995-05-04"
221616,55339,"1996-04-17","1997-04-17"
213561,55704,"1999-12-07","2000-11-01"
497330,57568,"2000-05-19","2001-05-19"
74828,58575,"1993-09-28","1994-09-28"
225744,56128,"1998-07-07","1999-07-07"
462452,46959,"2001-10-30","9999-01-01"
32979,48942,"1990-09-24","1991-09-24"
471228,40000,"1994-07-05","1995-07-05"
60720,50090,"2000-03-13","2001-03-13"
247987,70144,"1998-05-31","1999-05-31"
282685,64983,"1997-01-22","1998-01-22"
237924,42416,"1995-04-10","1996-04-09"
402207,71450,"1993-11-26","1994-11-26"
87632,65348,"1997-07-12","1998-07-12"
224703,62624,"2001-11-04","9999-01-01"
205855,53139,"2001-11-11","9999-01-01"
452280,51934,"1991-09-29","1992-09-28"
202425,56275,"2001-10-29","9999-01-01"
67306,57718,"1997-08-03","1998-08-03"
218921,74265,"2000-09-07","2001-09-07"
295210,63661,"1991-07-13","1992-07-12"
454776,67968,"2001-11-30","9999-01-01"
287077,42857,"1988-09-28","1989-09-28"
422381,60204,"1988-12-08","1989-12-08"
109987,80039,"2002-05-26","9999-01-01"
215819,62737,"1996-02-01","1997-01-31"
401347,56048,"1988-12-12","1989-12-12"
498712,84917,"1994-01-12","1995-01-12"
108343,77562,"2001-11-24","9999-01-01"
89042,97153,"2002-04-30","9999-01-01"
200068,88464,"1994-04-04","1995-04-04"
67967,67589,"2001-11-07","9999-01-01"
464914,46968,"1989-05-14","1990-05-14"
96194,51741,"2000-11-17","2001-11-17"
458821,40000,"1989-05-09","1990-05-09"
232662,70423,"2000-09-15","2001-09-15"
248100,88775,"2002-05-16","9999-01-01"
252522,58864,"1994-02-24","1995-02-24"
61968,99830,"1994-12-21","1995-12-21"
21064,41272,"1990-04-16","1991-04-16"
414043,58174,"1993-12-10","1994-12-10"
81292,48626,"1989-11-07","1990-11-07"
287632,75214,"1993-06-19","1994-06-19"
441213,71230,"1997-09-30","1998-09-30"
211477,59576,"1993-09-11","1994-09-11"
484659,40000,"1995-11-28","1996-11-27"
23138,44002,"1989-09-06","1990-09-06"
202379,43510,"1987-04-21","1988-04-20"
260231,74351,"1992-04-23","1993-04-23"
104801,59816,"1996-10-29","1997-10-29"
205826,40000,"1991-10-13","1992-10-12"
92887,55713,"1992-06-18","1993-06-18"
205176,69355,"1999-12-23","2000-12-22"
485041,62413,"2002-05-13","9999-01-01"
205760,89607,"1998-12-14","1999-12-14"
294451,77420,"2001-10-11","9999-01-01"
438785,81194,"2001-07-12","2002-07-12"
16003,71813,"1999-08-16","2000-08-15"
25584,63875,"2000-02-29","2001-02-28"
401135,43047,"1996-09-05","1997-09-05"
200439,43222,"1996-10-10","1997-10-10"
65413,62484,"2000-12-05","2001-12-05"
267545,57358,"1994-02-05","1995-02-05"
475303,40000,"1985-02-26","1986-02-26"
288672,63107,"1995-05-03","1996-05-02"
234612,71193,"1994-04-22","1995-04-22"
484814,64499,"2000-12-29","2001-12-29"
78699,40911,"1988-11-16","1989-11-16"
10148,70400,"2002-07-14","9999-01-01"
295525,85190,"2001-09-01","9999-01-01"
283568,40000,"1987-09-16","1988-09-15"
417596,85826,"1994-01-05","1995-01-05"
66244,56092,"2000-09-03","2001-09-03"
215286,59541,"1994-03-29","1995-02-14"
406590,67205,"1998-10-27","1999-10-27"
228351,59428,"2002-02-10","9999-01-01"
204354,57363,"1990-04-19","1991-04-19"
417595,93986,"1993-06-15","1994-06-15"
201234,75585,"1995-08-28","1996-08-27"
246698,48023,"1991-05-26","1992-05-25"
212602,59771,"1998-05-17","1999-05-17"
33122,56637,"1997-07-25","1998-07-25"
17476,80342,"2001-08-01","2002-08-01"
79805,75638,"2000-08-02","2001-08-02"
471828,61053,"2000-02-02","2001-02-01"
428636,50417,"1992-07-31","1993-07-31"
461201,52820,"1993-05-29","1994-05-29"
292539,74441,"1997-10-21","1998-10-21"
259697,43253,"1995-04-09","1996-04-08"
493136,58358,"1997-11-08","1998-11-08"
294677,48976,"2002-01-22","9999-01-01"
56450,40000,"1985-04-12","1986-04-12"
416449,58220,"1998-12-26","1999-12-26"
417589,70426,"2000-08-23","2001-08-23"
241611,47323,"1996-08-08","1997-08-08"
249809,40000,"1985-09-18","1986-09-18"
253770,63103,"2000-12-19","2001-12-19"
55315,50457,"1999-08-16","2000-08-15"
35813,45475,"2000-07-16","2001-07-16"
462785,99395,"2000-12-30","2001-12-30"
476103,68413,"2000-08-25","2001-08-25"
102726,81860,"2001-06-09","2002-06-09"
95883,80595,"2001-05-11","2002-05-11"
61441,62194,"1991-01-30","1992-01-30"
77455,80967,"1999-03-28","2000-03-27"
268386,52306,"1986-02-06","1987-02-06"
260982,43842,"1998-05-25","1999-05-25"
76762,47880,"1993-09-20","1994-09-20"
14017,52075,"2000-12-05","2001-12-05"
86325,43812,"1988-11-20","1989-11-20"
471203,60783,"2000-03-18","2001-03-18"
79178,77523,"2002-01-10","9999-01-01"
254756,52323,"1991-03-28","1992-03-27"
416393,94269,"1993-01-20","1994-01-20"
412102,56511,"1995-12-29","1996-12-28"
105560,51809,"1999-12-17","2000-12-16"
495502,55145,"1995-06-08","1996-06-07"
93309,55556,"2000-06-12","2001-04-21"
53858,87979,"2001-10-29","9999-01-01"
235101,58134,"2001-10-10","9999-01-01"
108893,63123,"1998-03-08","1999-03-08"
11401,57681,"1998-04-14","1999-04-14"
485981,75176,"2001-12-06","9999-01-01"
248017,52507,"1996-10-07","1997-10-07"
410015,50020,"2002-02-14","9999-01-01"
240798,76501,"2001-07-29","2002-07-29"
480743,80619,"1997-01-06","1998-01-06"
70505,45643,"1990-05-03","1991-05-03"
101262,46369,"1993-02-25","1994-02-25"
81845,51621,"1991-09-27","1992-09-26"
49669,63876,"1998-05-06","1999-05-06"
282665,47387,"1998-09-23","1999-09-23"
272902,74539,"2000-09-11","2001-09-11"
104363,95160,"1999-11-20","2000-11-19"
15192,40000,"1989-04-24","1990-04-24"
414900,42851,"1999-03-31","1999-10-14"
249557,55642,"1995-06-19","1996-06-18"
26217,49033,"1993-07-27","1994-07-27"
274912,53320,"1996-05-22","1997-05-22"
47020,44756,"1992-06-29","1993-06-29"
230883,65143,"1998-10-18","1999-10-18"
245038,91326,"2002-01-20","9999-01-01"
441756,99292,"2000-01-10","2001-01-09"
489011,55472,"1991-05-13","1992-05-12"
416623,48720,"1994-02-01","1995-02-01"
202786,56126,"1994-08-30","1995-08-30"
250982,67408,"2000-01-16","2001-01-15"
422945,68661,"2000-05-18","2001-05-18"
92605,62620,"1990-04-18","1991-04-18"
10273,89773,"1993-11-04","1994-11-04"
252174,57041,"1996-07-23","1997-07-23"
68659,69258,"2001-08-23","9999-01-01"
201677,68123,"2001-02-01","2002-02-01"
88266,62331,"1997-10-01","1998-10-01"
474342,49083,"2002-05-30","9999-01-01"
453558,76496,"1992-02-09","1993-02-08"
442574,44655,"1998-02-02","1999-02-02"
264833,45554,"1998-05-19","1999-05-19"
283760,58641,"1994-01-06","1995-01-06"
467118,40000,"1986-08-20","1987-08-20"
490223,69379,"1997-08-11","1998-08-11"
478766,100450,"1999-09-10","2000-09-09"
436384,49384,"1997-04-11","1998-04-11"
239134,53707,"1986-04-22","1987-04-22"
35425,77539,"1987-06-29","1988-06-28"
431818,66769,"2001-09-14","9999-01-01"
73142,73773,"1996-12-21","1997-12-21"
269936,83513,"1997-02-03","1998-02-03"
454581,45832,"1997-04-25","1998-04-25"
427868,74817,"1992-11-19","1993-11-19"
471538,70654,"1990-01-29","1991-01-29"
480380,45949,"1996-03-20","1997-03-20"
253205,44003,"1992-09-13","1993-09-13"
250522,49632,"1994-06-23","1995-06-23"
89382,58955,"1999-02-22","2000-02-22"
19526,77236,"1993-08-13","1994-08-13"
206635,69178,"1996-03-16","1996-07-07"
98139,76148,"1995-05-10","1996-05-09"
220802,48654,"1994-07-19","1995-07-19"
414467,41879,"1992-07-28","1993-07-28"
48252,76395,"1998-06-26","1999-06-26"
295119,51802,"1989-05-15","1990-05-15"
259806,70685,"1998-06-22","1999-06-22"
484213,93554,"2001-10-01","9999-01-01"
416777,41403,"1987-03-02","1988-03-01"
293902,64718,"2000-07-08","2001-07-08"
33979,40453,"2000-01-10","2000-07-20"
53640,56044,"1993-04-13","1994-04-13"
454873,77041,"1998-08-18","1999-08-18"
461571,47436,"1985-06-09","1986-06-09"
80499,44185,"1998-12-14","1999-12-14"
21651,50626,"1990-04-04","1991-04-04"
288541,71862,"2001-05-18","2002-05-18"
459778,68254,"1990-04-03","1991-04-02"
468561,60964,"1995-03-26","1996-03-25"
445022,56250,"1994-07-07","1995-07-07"
245119,64371,"1995-07-31","1996-07-30"
421040,65268,"1993-06-29","1994-06-29"
434652,42451,"1993-05-15","1994-05-15"
238041,68895,"2002-04-09","9999-01-01"
68370,82308,"1998-11-20","1999-11-20"
94218,57215,"1990-09-25","1991-09-25"
269736,69827,"2001-09-24","9999-01-01"
237599,55396,"1992-02-18","1993-02-17"
421240,45974,"2001-04-15","2002-04-15"
429260,68440,"1988-08-10","1989-08-10"
43647,99547,"1993-01-30","1994-01-30"
70082,105185,"1999-06-06","2000-06-05"
239231,53969,"1991-01-10","1992-01-10"
205244,49930,"1992-05-12","1993-05-12"
258213,44362,"1998-02-22","1999-02-22"
258530,94668,"1990-03-23","1991-03-23"
421132,59066,"1996-07-06","1997-07-06"
108144,105249,"2002-01-31","9999-01-01"
231451,80116,"1986-11-23","1987-11-23"
440979,61612,"1994-03-18","1995-03-18"
410283,85713,"1999-11-17","2000-11-16"
283546,71262,"1996-04-14","1997-04-14"
443353,45411,"1998-07-21","1999-07-21"
212639,73109,"1994-03-18","1995-03-18"
462949,49240,"1999-06-14","2000-06-13"
467432,82153,"2001-01-05","2002-01-05"
99216,69043,"1997-07-14","1998-07-14"
433653,40000,"1987-03-13","1988-03-12"
216516,62258,"1994-10-25","1995-10-25"
455053,53581,"1997-11-06","1998-11-06"
107151,45130,"1991-08-18","1992-08-17"
214579,48144,"1995-03-22","1996-03-21"
216124,49180,"1999-12-20","2000-12-19"
61316,89406,"1998-04-29","1999-04-29"
201512,40000,"1988-09-27","1989-09-27"
298316,57334,"1992-03-26","1993-03-26"
278685,40000,"1988-09-15","1989-09-15"
19526,85027,"1999-08-12","2000-08-11"
244260,97223,"1994-07-19","1995-07-19"
202679,41341,"1997-04-12","1998-04-12"
76141,78125,"1986-03-05","1987-03-05"
239830,61251,"2000-06-10","2001-06-10"
478693,85443,"1999-11-26","2000-08-29"
457814,52467,"2000-02-06","2001-02-05"
458697,82091,"2000-03-25","2001-03-25"
16451,44952,"1990-05-26","1991-05-26"
70136,64377,"1991-07-15","1992-07-14"
495538,87663,"1999-01-18","2000-01-18"
201827,54916,"1990-07-22","1991-07-22"
266183,47091,"1998-12-10","1999-12-10"
436887,59419,"1987-04-02","1988-04-01"
64392,57159,"1997-07-02","1998-07-02"
222174,45442,"1989-05-02","1990-05-02"
444626,63247,"1995-01-19","1996-01-19"
79461,75266,"1997-01-09","1998-01-09"
490430,58211,"1996-02-17","1997-02-16"
249263,49016,"2001-11-10","9999-01-01"
53319,83476,"1997-04-07","1998-04-07"
212809,40000,"1989-08-16","1990-08-16"
467955,42988,"1997-03-15","1998-03-15"
442621,44552,"1988-02-06","1989-02-05"
242510,55125,"1994-10-20","1995-10-20"
498243,54224,"1999-07-23","2000-07-22"
45102,84360,"1992-02-03","1993-02-02"
291318,58527,"1992-02-28","1993-02-27"
432710,55452,"1996-07-05","1997-07-05"
240740,51638,"1995-09-04","1996-09-03"
461755,58470,"1987-04-21","1988-04-20"
225017,92039,"2001-11-07","9999-01-01"
24451,54382,"1990-03-06","1991-03-06"
233618,57943,"1986-05-08","1987-05-08"
272122,70003,"1993-09-23","1994-09-23"
453655,72187,"1999-06-08","2000-06-07"
463451,81422,"1991-08-04","1992-08-03"
278594,54885,"1999-04-09","2000-04-08"
85976,52662,"1993-09-17","1994-09-17"
69717,68030,"1997-12-10","1998-12-10"
479920,59302,"1999-10-30","1999-11-21"
408455,62193,"1996-07-09","1997-07-09"
225360,70799,"1998-11-23","1999-11-23"
243111,56984,"1996-07-21","1997-07-21"
298857,70194,"1998-03-17","1999-03-17"
470331,79823,"1992-06-12","1993-06-12"
37306,67429,"1999-10-09","2000-10-08"
59556,71874,"1997-03-07","1998-03-07"
60851,64802,"1995-10-17","1996-10-16"
92264,68296,"1998-09-19","1999-09-19"
245485,91386,"2000-10-06","2001-10-06"
255981,53627,"1996-06-09","1997-06-09"
295793,62164,"1994-04-02","1995-04-02"
214859,57928,"1996-01-11","1997-01-10"
235599,60035,"1988-04-25","1989-04-25"
438553,44373,"1998-05-11","1999-05-11"
41318,78983,"1990-03-16","1991-03-16"
15962,92253,"2002-03-10","9999-01-01"
241683,50534,"2000-06-14","2001-06-14"
21699,51137,"1992-12-21","1993-12-21"
488658,71463,"1999-02-19","2000-02-19"
98088,86462,"1999-12-12","2000-12-11"
85661,73157,"1989-05-14","1990-05-14"
487774,65079,"1992-09-15","1993-09-15"
210588,58017,"1997-02-27","1997-03-08"
89550,55059,"1999-12-06","2000-12-05"
97155,75546,"1989-02-01","1990-02-01"
11467,82596,"2000-06-14","2001-06-14"
227558,77245,"1994-05-31","1995-05-31"
16886,74790,"1990-01-28","1991-01-28"
50445,46437,"1991-03-20","1992-03-19"
271249,82317,"2000-12-05","2001-12-05"
239386,55890,"1995-12-05","1996-07-13"
32958,72775,"2002-05-21","9999-01-01"
72435,57808,"1997-10-12","1998-10-12"
201133,50722,"1995-03-27","1996-03-26"
35493,77833,"1994-08-14","1995-08-14"
234930,69160,"1994-10-31","1995-10-31"
290818,51989,"1990-04-30","1991-04-30"
32672,56784,"1996-03-01","1997-03-01"
413998,60034,"1997-11-02","1998-11-02"
27843,72150,"1999-04-26","2000-04-25"
470217,44505,"1999-04-26","2000-04-25"
37903,81546,"2000-03-08","2001-03-08"
481969,53184,"2000-02-02","2000-03-31"
278164,73083,"1999-06-30","2000-06-29"
82875,68890,"1987-10-21","1988-10-20"
296929,61691,"1994-10-07","1995-10-07"
282346,47027,"1992-12-29","1993-12-29"
239499,94286,"1991-10-24","1992-10-23"
228480,103739,"1999-03-20","2000-03-19"
55466,59700,"2001-05-26","2002-05-26"
202099,96971,"2000-04-21","2001-04-21"
210849,70456,"1993-06-16","1994-06-16"
109951,52828,"1997-04-13","1998-04-13"
207692,51681,"1993-03-19","1994-03-19"
217314,61808,"1993-11-28","1994-11-28"
46974,40000,"1985-08-17","1986-08-17"
272862,69874,"1993-01-12","1994-01-12"
283414,48246,"1998-10-15","1999-10-15"
467591,54338,"2000-09-20","2001-09-20"
467413,68501,"1994-05-10","1995-05-10"
25167,47077,"1988-12-20","1989-12-20"
60908,88172,"1993-03-26","1994-03-26"
426097,69061,"1990-09-03","1991-09-03"
401286,46486,"1992-06-09","1993-06-09"
210471,61531,"2001-10-21","9999-01-01"
277858,59901,"1991-06-20","1992-06-19"
411958,54288,"1997-02-10","1998-02-10"
92160,39733,"1995-03-08","1996-03-07"
469896,40000,"1989-03-23","1990-03-23"
487501,102185,"2002-03-24","9999-01-01"
71174,64582,"1999-04-16","2000-04-15"
417555,61436,"1989-07-30","1990-07-30"
237468,67602,"2000-12-14","2001-12-14"
256908,80261,"1988-11-29","1989-11-29"
408460,49100,"1999-06-03","2000-06-02"
241958,51126,"1989-06-10","1990-06-10"
50828,40964,"1989-01-01","1990-01-01"
204826,75916,"1999-02-11","2000-02-11"
222843,40946,"1994-05-08","1995-05-08"
28214,69530,"1998-07-27","1999-07-27"
59304,55519,"1996-08-10","1997-08-10"
108356,98813,"1987-10-07","1988-10-06"
212650,71158,"2000-03-14","2001-03-14"
84512,43654,"1995-11-27","1996-11-26"
74858,97372,"1996-06-15","1997-06-15"
415216,89799,"2001-10-12","9999-01-01"
284831,86137,"1999-12-28","2000-12-27"
440652,75845,"1992-12-04","1993-12-04"
425443,96481,"2000-03-21","2001-03-21"
415324,97815,"1995-06-29","1996-06-28"
488030,48105,"1994-04-19","1995-04-19"
264846,51699,"1993-09-09","1994-09-09"
91783,69146,"1997-08-30","1998-08-30"
472641,48223,"1993-02-09","1994-02-09"
287385,64199,"2002-03-28","9999-01-01"
298339,46093,"1989-09-03","1990-09-03"
410237,45516,"1992-11-11","1993-11-11"
409959,70626,"1996-05-25","1997-05-25"
440410,75654,"1998-03-15","1999-03-15"
50450,43988,"1997-02-17","1998-02-17"
229171,88565,"1998-05-10","1999-05-10"
493614,65814,"2001-07-30","2002-07-30"
285820,54773,"1997-06-05","1998-06-05"
298794,67939,"1993-05-20","1994-05-20"
487801,49091,"1992-02-05","1993-02-04"
446997,77532,"1998-08-18","1999-08-18"
238073,78011,"2000-10-29","2001-10-29"
440900,71473,"2001-04-06","2002-04-05"
499178,83819,"1996-06-11","1997-06-11"
107562,46002,"1995-08-24","1996-08-23"
27436,53837,"1993-05-17","1994-05-17"
495254,64849,"2000-11-30","2001-11-30"
495612,68857,"1997-08-28","1998-08-28"
404346,75514,"1992-02-29","1993-02-28"
55640,54157,"1998-07-15","1999-07-15"
426703,40741,"1996-01-31","1997-01-30"
455266,77227,"1998-09-11","1999-09-11"
431172,85364,"2000-11-02","2001-11-02"
12209,56682,"1994-12-14","1995-12-14"
493193,82930,"1988-12-29","1989-12-29"
207791,55656,"1995-08-19","1996-08-18"
76250,62334,"2000-03-04","2001-03-04"
94230,89277,"1999-07-23","2000-07-22"
204665,46177,"1995-08-24","1996-08-23"
421949,48747,"1995-07-02","1996-07-01"
446137,75875,"1995-02-03","1996-02-03"
49185,58903,"1987-03-15","1988-03-14"
497725,40854,"1998-12-19","1999-12-19"
50963,81348,"1999-08-09","2000-08-08"
232897,51070,"1989-10-14","1990-10-14"
422273,84616,"1999-12-13","2000-12-12"
485081,47464,"1987-05-08","1988-05-07"
420228,46516,"2000-11-02","2001-11-02"
67214,59961,"1998-04-15","1999-04-15"
468474,96645,"2002-01-26","9999-01-01"
105049,56876,"1998-12-23","1999-12-23"
49699,41658,"1990-02-07","1991-02-07"
105014,63763,"1997-08-24","1998-08-24"
39975,81619,"1999-08-04","2000-08-03"
441400,71114,"1998-09-18","1999-09-18"
277153,75689,"1998-06-30","1999-06-30"
297084,66455,"1989-12-25","1990-12-25"
407784,63657,"1997-01-13","1998-01-13"
222241,56490,"1995-03-17","1996-03-16"
51431,84864,"1985-11-03","1986-11-03"
203390,84169,"1998-03-31","1999-03-31"
456619,87113,"1998-07-28","1999-07-28"
263754,57669,"1994-08-24","1995-08-24"
211747,82463,"1996-12-19","1997-12-19"
43090,87307,"2000-01-24","2001-01-23"
426477,91309,"1997-06-26","1998-06-26"
60377,51190,"1991-02-13","1992-02-13"
405348,43339,"1992-12-31","1993-12-31"
483160,49243,"1997-07-31","1998-07-31"
215818,61828,"2001-09-06","9999-01-01"
471210,53240,"1988-03-31","1989-03-31"
492393,40000,"1989-02-08","1990-02-08"
402696,42141,"1988-11-14","1989-11-14"
48002,56771,"1993-10-05","1994-10-05"
494275,105852,"2001-07-22","2002-07-22"
287878,63049,"1999-11-23","2000-11-22"
461797,79421,"1997-11-24","1998-11-24"
240372,40489,"2000-10-10","2001-10-10"
49495,65605,"1993-05-22","1994-05-22"
63810,80411,"1995-06-14","1996-06-13"
98188,53530,"1997-03-26","1998-03-26"
418827,79333,"2001-07-25","2002-06-29"
286314,59496,"1995-02-02","1996-02-02"
99349,86771,"1999-03-18","2000-03-17"
238696,74304,"1991-07-16","1992-07-15"
230515,51367,"1988-03-12","1989-03-12"
58525,54563,"1995-12-19","1996-12-18"
256960,120028,"1999-07-11","2000-07-10"
215477,51343,"2001-07-20","2002-07-20"
464790,55306,"1998-12-28","1999-12-28"
463352,47784,"2001-09-05","9999-01-01"
456480,40000,"1988-09-28","1989-09-28"
265718,67898,"1989-04-18","1990-04-18"
451862,62313,"1997-04-05","1998-04-05"
278230,53205,"1994-07-29","1995-07-29"
201677,70669,"2002-02-01","9999-01-01"
474355,65262,"1998-04-07","1999-04-07"
204969,53517,"1985-09-26","1986-09-26"
460823,75948,"2001-01-01","2002-01-01"
457095,77996,"2001-02-13","2002-02-13"
282635,68830,"2002-01-22","9999-01-01"
216521,45414,"1988-04-04","1989-04-04"
102517,62875,"1994-01-30","1995-01-30"
462825,78179,"2002-03-19","9999-01-01"
47816,63289,"1996-03-08","1997-03-08"
278491,56301,"2000-08-27","2001-08-27"
473133,54495,"1998-09-12","1999-06-19"
75092,88519,"1994-11-04","1995-11-04"
234547,70756,"1993-11-09","1994-11-09"
14407,57296,"1999-11-03","2000-11-02"
244369,64251,"1990-12-17","1991-12-17"
464453,53045,"1995-12-14","1996-12-13"
445289,71504,"1989-03-23","1990-03-23"
33837,75506,"1992-11-05","1993-11-05"
297834,44941,"1990-11-29","1991-11-29"
461215,40000,"1987-10-05","1988-10-04"
20506,85817,"1999-08-25","2000-08-24"
480013,64128,"1993-03-21","1994-03-21"
108088,42251,"1990-10-15","1991-10-15"
462271,93203,"1992-10-26","1993-10-26"
478776,47602,"2000-05-10","2001-05-10"
41090,57221,"1995-08-28","1996-08-27"
244268,71711,"1995-07-24","1996-07-23"
494214,69615,"1994-12-15","1995-12-15"
451118,63258,"2001-04-19","2002-04-19"
279771,62256,"2001-11-02","9999-01-01"
107832,42576,"1994-09-17","1995-09-17"
443148,43821,"1993-09-21","1994-09-21"
485965,41818,"2001-07-30","2002-07-30"
220111,86639,"1999-02-28","2000-02-28"
32803,64946,"2000-09-08","2001-09-08"
437469,112733,"1997-05-04","1998-05-04"
25905,59786,"1993-09-04","1994-09-04"
243629,49580,"1997-10-26","1998-10-26"
14512,63180,"1988-05-22","1989-05-22"
